experiment,name,seed,source_val_median,source_val_q99,target_calibration_median,target_calibration_q99,target_normal_over_source_q99,test_anomaly_median,test_normal_median,test_normal_q99
ped2_avenue_joint_seen_mechanism,full_srn,29,126.13330352718003,258.2677954201557,282.7595489053865,509.2072037367408,3.240134820875316,249.45213635906657,131.18291259290936,836.8224770515491
ped2_avenue_joint_seen_mechanism,srn_without_elos,29,129.5395217067603,260.97676729419766,281.0318875932894,507.304567639066,3.2327657266371777,257.4648487945294,132.92018146394025,843.6767487572486
ped2_avenue_joint_seen_mechanism,elos_without_srn,29,125.17996521459986,250.9362260157586,274.74340161502914,491.176437207325,3.2361853114107073,246.23517510350666,128.8762078718994,812.0761287330354
ped2_avenue_joint_seen_mechanism,srn_residual_only,29,128.11473743416673,258.45162552636776,283.92751519685044,518.1106990435959,3.2532352755814626,254.78415405832266,131.6745059201528,840.80394519375
ped2_avenue_joint_seen_mechanism,raw_prototype,43,127.68641065679594,320.5416709167779,276.9720035804021,491.176437207325,2.6031368073964214,246.17496206329042,128.44168133148128,834.4138218678155
ped2_avenue_joint_seen_mechanism,scene_mean_prototype,43,121.51002263021323,253.33445489642597,274.748791132825,491.1764377380661,3.2772869884643088,243.19069953066375,127.80956286535965,830.2497127617551
ped2_avenue_joint_seen_mechanism,adversarial_residual,43,127.12263645278745,318.4011566780889,276.98377344775145,489.6995127014751,2.6371330838215723,246.0154769298847,128.32857753044118,839.6662242028442
ped2_avenue_joint_seen_mechanism,full_srn,43,132.65510742146193,330.76772659006326,288.9905546244122,524.3426843636222,2.541383246080387,253.98470791810792,133.57897615677052,840.6075587000848
ped2_avenue_joint_seen_mechanism,srn_without_elos,43,133.4806915095403,331.10756061381886,290.84007367628783,537.0822354006411,2.5794759313293625,256.3506335336524,132.66795332898255,854.0839832845238
ped2_avenue_joint_seen_mechanism,elos_without_srn,43,127.68641065679594,320.5416709167779,276.9720035804021,491.176437207325,2.6031368073964214,246.17496206329042,128.44168133148128,834.4138218678155
ped2_avenue_joint_seen_mechanism,srn_residual_only,43,130.28330976756524,331.2339782354599,285.75364241380066,531.591609282359,2.6419059353199494,253.96434076219793,132.45601039039002,875.0890130799005
ped2_avenue_joint_lr_diagnostic,adversarial_residual_lr1e4,13,119.3488784713295,254.09108487489362,275.02813212150886,490.9999602766249,3.1877826749433873,244.31471915697193,126.42028390351152,809.9871582217556
ped2_avenue_joint_lr_diagnostic,full_srn_lr1e4,13,123.84282401105861,262.3900729130676,280.208798610593,542.0024299495692,3.1998360612889347,246.25597525007856,130.5791297632552,839.6052174314667
ped2_avenue_joint_lr_diagnostic,adversarial_residual_lr1e4,29,125.30075056537066,250.89844494291418,273.47771259493175,490.4806188818016,3.2329213831130246,245.34096923550442,128.35724060044413,811.1349476457532
