experiment,method,name,residual_variance_ratio,scene_probe,score_artifact,scorer,seed,selected_epoch,source_threshold,strict_zero_shot_auprc,strict_zero_shot_false_alarm_events_per_hour,strict_zero_shot_macro_scene_auroc,strict_zero_shot_macro_video_auroc,strict_zero_shot_micro_auroc,strict_zero_shot_threshold_false_positive_rate,strict_zero_shot_threshold_recall,strict_zero_shot_tpr_at_0_1pct_fpr,strict_zero_shot_tpr_at_1pct_fpr,strict_zero_shot_worst_scene_auroc,target_calibrated_threshold,target_normal_calibration_auprc,target_normal_calibration_false_alarm_events_per_hour,target_normal_calibration_macro_scene_auroc,target_normal_calibration_macro_video_auroc,target_normal_calibration_micro_auroc,target_normal_calibration_threshold_false_positive_rate,target_normal_calibration_threshold_recall,target_normal_calibration_tpr_at_0_1pct_fpr,target_normal_calibration_tpr_at_1pct_fpr,target_normal_calibration_worst_scene_auroc
avenue_within_raw,raw,raw_prototype,1.0,,runs/avenue_within_raw/seed_13/raw_prototype/scores.npz,prototype,13,,734.3009418169618,0.42362293811481727,276.037587599702,0.6203046074141495,0.6944619348606246,0.6203046074141495,0.02092662762659318,0.14358836206896552,0.043642241379310345,0.10371767241379311,0.6203046074141495,634.1921699343529,0.42362293811481727,651.9185579482324,0.6203046074141495,0.6944619348606246,0.6203046074141495,0.04426455390974854,0.2009698275862069,0.043642241379310345,0.10371767241379311,0.6203046074141495
avenue_within_raw,scene_mean,scene_mean_prototype,0.09676969051361084,,runs/avenue_within_raw/seed_13/scene_mean_prototype/scores.npz,prototype,13,,734.3009495390754,0.42362293811481727,276.037587599702,0.6203046074141495,0.6944619348606246,0.6203046074141495,0.02092662762659318,0.14358836206896552,0.043642241379310345,0.10371767241379311,0.6203046074141495,634.1921763021583,0.42362293811481727,651.9185579482324,0.6203046074141495,0.6944619348606246,0.6203046074141495,0.04426455390974854,0.2009698275862069,0.043642241379310345,0.10371767241379311,0.6203046074141495
avenue_within_raw,raw,raw_prototype,1.0,,runs/avenue_within_raw/seed_29/raw_prototype/scores.npz,prototype,29,,726.7230169270697,0.42389244896447,299.53014824648517,0.6200711242160309,0.6900120478417029,0.6200711242160309,0.022476748191526008,0.1497844827586207,0.04714439655172414,0.10533405172413793,0.6200711242160309,626.0208159585991,0.42389244896447,663.664838271624,0.6200711242160309,0.6900120478417029,0.6200711242160309,0.047364795039614195,0.20420258620689655,0.04714439655172414,0.10533405172413793,0.6200711242160309
avenue_within_raw,scene_mean,scene_mean_prototype,0.09676969051361084,,runs/avenue_within_raw/seed_29/scene_mean_prototype/scores.npz,prototype,29,,726.7230153080689,0.42389244896447,299.53014824648517,0.6200711242160309,0.6900120478417029,0.6200711242160309,0.022476748191526008,0.1497844827586207,0.04714439655172414,0.10533405172413793,0.6200711242160309,626.0208180625692,0.42389244896447,663.664838271624,0.6200711242160309,0.6900120478417029,0.6200711242160309,0.047364795039614195,0.20420258620689655,0.04714439655172414,0.10533405172413793,0.6200711242160309
avenue_within_raw,raw,raw_prototype,1.0,,runs/avenue_within_raw/seed_43/raw_prototype/scores.npz,prototype,43,,734.6641962073077,0.42304281388526277,293.6570080847894,0.618602759890185,0.6948570136885512,0.618602759890185,0.018945918015845678,0.13604525862068967,0.047952586206896554,0.10371767241379311,0.618602759890185,648.5915549193942,0.42304281388526277,487.4706334207504,0.618602759890185,0.6948570136885512,0.618602759890185,0.03384429900103341,0.18238146551724138,0.047952586206896554,0.10371767241379311,0.618602759890185
avenue_within_raw,scene_mean,scene_mean_prototype,0.09676969051361084,,runs/avenue_within_raw/seed_43/scene_mean_prototype/scores.npz,prototype,43,,734.6642037425677,0.42304281388526277,293.6570080847894,0.618602759890185,0.6948570136885512,0.618602759890185,0.018945918015845678,0.13604525862068967,0.047952586206896554,0.10371767241379311,0.618602759890185,648.5915536638106,0.42304281388526277,487.4706334207504,0.618602759890185,0.6948570136885512,0.618602759890185,0.03384429900103341,0.18238146551724138,0.047952586206896554,0.10371767241379311,0.618602759890185
ped2_to_avenue_raw,raw,raw_knn,1.0,,runs/ped2_to_avenue_raw/seed_13/raw_knn/scores.npz,knn,13,,265.8026200125154,0.19128157324547604,499.216913744142,0.37378312194875696,0.3442224219200661,0.37378312194875696,1.0,1.0,0.002963362068965517,0.009159482758620689,0.37378312194875696,3493.6553994444957,0.19128157324547604,0.0,0.37378312194875696,0.3442224219200661,0.37378312194875696,0.0,0.0,0.002963362068965517,0.009159482758620689,0.37378312194875696
ped2_to_avenue_raw,raw,raw_gaussian,1.0,,runs/ped2_to_avenue_raw/seed_13/raw_gaussian/scores.npz,gaussian,13,,765.612364261681,0.20003216727428388,499.216913744142,0.3566570922470215,0.3289734708950813,0.3566570922470215,1.0,1.0,0.010775862068965518,0.01697198275862069,0.3566570922470215,25723.494048588764,0.20003216727428388,0.0,0.3566570922470215,0.3289734708950813,0.3566570922470215,0.0,0.003771551724137931,0.010775862068965518,0.01697198275862069,0.3566570922470215
ped2_to_avenue_raw,raw,raw_prototype,1.0,,runs/ped2_to_avenue_raw/seed_13/raw_prototype/scores.npz,prototype,13,,258.20685676222547,0.19181219089062068,499.216913744142,0.37802621043777546,0.34335948559660506,0.37802621043777546,1.0,1.0,0.002963362068965517,0.007543103448275862,0.37802621043777546,3568.394239096393,0.19181219089062068,0.0,0.37802621043777546,0.34335948559660506,0.37802621043777546,0.0,0.0,0.002963362068965517,0.007543103448275862,0.37802621043777546
ped2_to_avenue_raw,scene_mean,scene_mean_prototype,0.0856514647603035,,runs/ped2_to_avenue_raw/seed_13/scene_mean_prototype/scores.npz,prototype,13,,258.2068559606786,0.19181219089062068,499.216913744142,0.37802621043777546,0.34335948559660506,0.37802621043777546,1.0,1.0,0.002963362068965517,0.007543103448275862,0.37802621043777546,3568.3942323350566,0.19181219089062068,0.0,0.37802621043777546,0.34335948559660506,0.37802621043777546,0.0,0.0,0.002963362068965517,0.007543103448275862,0.37802621043777546
ped2_to_avenue_raw,raw,raw_prototype,1.0,,runs/ped2_to_avenue_raw/seed_29/raw_prototype/scores.npz,prototype,29,,269.79764903712476,0.18979733743052868,499.216913744142,0.372374706011617,0.3418145129190811,0.372374706011617,1.0,1.0,0.002963362068965517,0.007004310344827586,0.372374706011617,3565.627516951793,0.18979733743052868,0.0,0.372374706011617,0.3418145129190811,0.372374706011617,0.0,0.0,0.002963362068965517,0.007004310344827586,0.372374706011617
ped2_to_avenue_raw,scene_mean,scene_mean_prototype,0.0856514647603035,,runs/ped2_to_avenue_raw/seed_29/scene_mean_prototype/scores.npz,prototype,29,,269.79764664546525,0.18979733743052868,499.216913744142,0.372374706011617,0.3418145129190811,0.372374706011617,1.0,1.0,0.002963362068965517,0.007004310344827586,0.372374706011617,3565.627533554727,0.18979733743052868,0.0,0.372374706011617,0.3418145129190811,0.372374706011617,0.0,0.0,0.002963362068965517,0.007004310344827586,0.372374706011617
ped2_to_avenue_raw,raw,raw_prototype,1.0,,runs/ped2_to_avenue_raw/seed_43/raw_prototype/scores.npz,prototype,43,,257.62803047701345,0.19136029726089318,499.216913744142,0.3774408784536211,0.3440666897096303,0.3774408784536211,1.0,1.0,0.002963362068965517,0.007273706896551724,0.3774408784536211,3568.394239096393,0.19136029726089318,0.0,0.3774408784536211,0.3440666897096303,0.3774408784536211,0.0,0.0,0.002963362068965517,0.007273706896551724,0.3774408784536211
ped2_to_avenue_raw,scene_mean,scene_mean_prototype,0.0856514647603035,,runs/ped2_to_avenue_raw/seed_43/scene_mean_prototype/scores.npz,prototype,43,,257.62803246744863,0.1913603058926927,499.216913744142,0.37744090165346195,0.3440666897096303,0.37744090165346195,1.0,1.0,0.002963362068965517,0.007273706896551724,0.37744090165346195,3568.3942323350566,0.1913603058926927,0.0,0.37744090165346195,0.3440666897096303,0.37744090165346195,0.0,0.0,0.002963362068965517,0.007273706896551724,0.37744090165346195
avenue_to_ped2_raw,raw,raw_knn,1.0,,runs/avenue_to_ped2_raw/seed_13/raw_knn/scores.npz,knn,13,,447.4952581951544,0.9057300707074043,143.28358250382377,0.6540507831357614,0.7216140025152309,0.6540507831357614,1.0,1.0,0.044902912621359224,0.12742718446601942,0.6540507831357614,2967.6685641137246,0.9057300707074043,17.91044781297797,0.6540507831357614,0.7216140025152309,0.6540507831357614,0.0027624309392265192,0.05157766990291262,0.044902912621359224,0.12742718446601942,0.6540507831357614
avenue_to_ped2_raw,raw,raw_gaussian,1.0,,runs/avenue_to_ped2_raw/seed_13/raw_gaussian/scores.npz,gaussian,13,,1763.9155624116017,0.9209619169884193,143.28358250382377,0.6929360215630531,0.7556663775273507,0.6929360215630531,1.0,1.0,0.10436893203883495,0.22269417475728157,0.6929360215630531,18914.9472836165,0.9209619169884193,17.91044781297797,0.6929360215630531,0.7556663775273507,0.6929360215630531,0.0027624309392265192,0.16201456310679613,0.10436893203883495,0.22269417475728157,0.6929360215630531
avenue_to_ped2_raw,raw,raw_prototype,1.0,,runs/avenue_to_ped2_raw/seed_13/raw_prototype/scores.npz,prototype,13,,481.89296468072916,0.8281079957016555,143.28358250382377,0.5142178029287132,0.5867928960577538,0.5142178029287132,1.0,1.0,0.0036407766990291263,0.021237864077669904,0.5142178029287132,3218.071369904932,0.8281079957016555,17.91044781297797,0.5142178029287132,0.5867928960577538,0.5142178029287132,0.0027624309392265192,0.00424757281553398,0.0036407766990291263,0.021237864077669904,0.5142178029287132
avenue_to_ped2_raw,scene_mean,scene_mean_prototype,0.09934490919113159,,runs/avenue_to_ped2_raw/seed_13/scene_mean_prototype/scores.npz,prototype,13,,481.8929652716538,0.8281079957016555,143.28358250382377,0.5142178029287132,0.5867928960577538,0.5142178029287132,1.0,1.0,0.0036407766990291263,0.021237864077669904,0.5142178029287132,3218.0713566079494,0.8281079957016555,17.91044781297797,0.5142178029287132,0.5867928960577538,0.5142178029287132,0.0027624309392265192,0.00424757281553398,0.0036407766990291263,0.021237864077669904,0.5142178029287132
