absolute_fpr_error,auprc,calibration_budget_videos,calibration_frames,calibration_videos,context_rank,cv_fpr_by_video,cv_mean_absolute_fpr_error,desired_fpr,direction,fa_hour_denominator,false_alarm_events_per_hour,location_dependent_recall,location_independent_recall,macro_scene_auroc,macro_video_auroc,method,micro_auroc,per_scene_auroc,per_scene_threshold_recall,per_source_video_thresholds,per_video_auroc,q95_transfer_ratio,q99_transfer_ratio,scene_auroc_std,score_artifact,scorer,seed,selected_alpha,source_normal_q95,source_normal_q99,target_test_anomaly_median,target_test_normal_q95,target_test_normal_q99,threshold,threshold_false_positive_rate,threshold_recall,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr,track,uses_target_anomalies,uses_target_normal,worst_scene_auroc
0.99,0.9057300707074043,,,,,,,0.01,avenue_to_ped2,total represented test-video duration,143.28358250382377,,,0.6540507831357614,0.7216140025152309,B0_pooled_q99,0.6540507831357614,"{""ped2_camera_01"": 0.6540507831357614}","{""ped2_camera_01"": 1.0}",,"{""test001"": 0.7138888888888889, ""test002"": 0.6230826323602177, ""test003"": 0.8065068493150684, ""test004"": 0.8262222222222222, ""test005"": 0.8361018826135105, ""test006"": 0.870020964360587, ""test007"": 0.45810699588477366, ""test012"": 0.6389815844765789}",7.891013039150989,6.500979011854768,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_b0_pooled_q99.npz,knn,13,,361.6359962701078,447.3662380646394,2789.613774967469,2853.6743619937793,2908.318524270644,447.4952581951544,1.0,1.0,0.044902912621359224,0.12742718446601942,B-ZS,False,False,0.6540507831357614
0.99,0.9057300707074043,,,,,,,0.01,avenue_to_ped2,total represented test-video duration,143.28358250382377,,,0.6540507831357614,0.7216140025152309,B1_source_mean_std,0.6540507831357614,"{""ped2_camera_01"": 0.6540507831357614}","{""ped2_camera_01"": 1.0}",,"{""test001"": 0.7138888888888889, ""test002"": 0.6230826323602177, ""test003"": 0.8065068493150684, ""test004"": 0.8262222222222222, ""test005"": 0.8361018826135105, ""test006"": 0.870020964360587, ""test007"": 0.45810699588477366, ""test012"": 0.6389815844765789}",15.414753324587728,10.516026246210982,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_b1_source_mean_std.npz,knn,13,,1.7590159548571993,2.6312967644375993,26.462998798172215,27.11479703813787,27.670785836395833,2.6326095075436733,1.0,1.0,0.044902912621359224,0.12742718446601942,B-ZS,False,False,0.6540507831357614
0.99,0.9057300707074043,,,,,,,0.01,avenue_to_ped2,total represented test-video duration,143.28358250382377,,,0.6540507831357614,0.7216140025152309,B2_source_median_mad,0.6540507831357614,"{""ped2_camera_01"": 0.6540507831357614}","{""ped2_camera_01"": 1.0}",,"{""test001"": 0.7138888888888889, ""test002"": 0.6230826323602177, ""test003"": 0.8065068493150684, ""test004"": 0.8262222222222222, ""test005"": 0.8361018826135105, ""test006"": 0.870020964360587, ""test007"": 0.45810699588477366, ""test012"": 0.6389815844765789}",12.532392385130436,9.15369326775202,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_b2_source_median_mad.npz,knn,13,,2.5374801277050545,3.5441831788789315,31.04845346492146,31.800696629870632,32.44236570418403,3.5456982213695802,1.0,1.0,0.044902912621359224,0.12742718446601942,B-ZS,False,False,0.6540507831357614
0.99,0.9057300707074043,,,,,,,0.01,avenue_to_ped2,total represented test-video duration,143.28358250382377,,,0.6540507831357614,0.7216140025152309,B3_video_balanced_q99,0.6540507831357614,"{""ped2_camera_01"": 0.6540507831357614}","{""ped2_camera_01"": 1.0}","{""train_13"": 212.80085602105, ""train_14"": 193.33470488032617, ""train_15"": 447.3160635694391, ""train_16"": 558.522891430985}","{""test001"": 0.7138888888888889, ""test002"": 0.6230826323602177, ""test003"": 0.8065068493150684, ""test004"": 0.8262222222222222, ""test005"": 0.8361018826135105, ""test006"": 0.870020964360587, ""test007"": 0.45810699588477366, ""test012"": 0.6389815844765789}",7.891013039150989,6.500979011854768,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_b3_video_balanced_q99.npz,knn,13,,361.6359962701078,447.3662380646394,2789.613774967469,2853.6743619937793,2908.318524270644,330.0584597952446,1.0,1.0,0.044902912621359224,0.12742718446601942,B-ZS,False,False,0.6540507831357614
0.99,0.8149724517943102,,,,8,"{""train_13"": 0.0, ""train_14"": 0.0, ""train_15"": 0.028328611898016998, ""train_16"": 0.01639344262295082}",0.011180513630241954,0.01,avenue_to_ped2,total represented test-video duration,143.28358250382377,,,0.4911595505015287,0.4941711509114272,B4_conditional_location,0.4911595505015287,"{""ped2_camera_01"": 0.4911595505015287}","{""ped2_camera_01"": 1.0}",,"{""test001"": 0.4602777777777778, ""test002"": 0.3419099455714993, ""test003"": 0.6506849315068494, ""test004"": 0.8128888888888889, ""test005"": 0.45921004060538945, ""test006"": 0.8562443845462714, ""test007"": 0.02683127572016461, ""test012"": 0.3453219626745767}",5.7973114528061975,4.174069160025288,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_b4_conditional_location.npz,knn,13,0.001,1.5076602187583716,2.1795896901263645,7.8800938112226415,8.740375853148205,9.097758107065532,2.188554794902973,1.0,1.0,0.0018203883495145632,0.00424757281553398,B-ZS,False,False,0.4911595505015287
0.003812154696132596,0.9057300707074043,1,120,"[""train001""]",,,,0.01,avenue_to_ped2,total represented test-video duration,71.64179125191188,,,0.6540507831357614,0.7216140025152309,CAL_quantile_q99,0.6540507831357614,"{""ped2_camera_01"": 0.6540507831357614}","{""ped2_camera_01"": 0.15109223300970873}",,"{""test001"": 0.7138888888888889, ""test002"": 0.6230826323602177, ""test003"": 0.8065068493150684, ""test004"": 0.8262222222222222, ""test005"": 0.8361018826135105, ""test006"": 0.870020964360587, ""test007"": 0.45810699588477366, ""test012"": 0.6389815844765789}",7.891013039150989,6.500979011854768,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_cal_quantile_q99_budget1.npz,knn,13,,361.6359962701078,447.3662380646394,2789.613774967469,2853.6743619937793,2908.318524270644,2897.4089256796806,0.013812154696132596,0.15109223300970873,0.044902912621359224,0.12742718446601942,B-CAL,False,True,0.6540507831357614
0.028674033149171267,0.9057300707074043,1,120,"[""train001""]",,,,0.01,avenue_to_ped2,total represented test-video duration,143.28358250382377,,,0.6540507831357614,0.7216140025152309,CAL_mean_std,0.6540507831357614,"{""ped2_camera_01"": 0.6540507831357614}","{""ped2_camera_01"": 0.2354368932038835}",,"{""test001"": 0.7138888888888889, ""test002"": 0.6230826323602177, ""test003"": 0.8065068493150684, ""test004"": 0.8262222222222222, ""test005"": 0.8361018826135105, ""test006"": 0.870020964360587, ""test007"": 0.45810699588477366, ""test012"": 0.6389815844765789}",1.208126797692664,1.1030910528628872,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_cal_mean_std_budget1.npz,knn,13,,361.6359962701078,447.3662380646394,370.56795542683886,436.90213810420147,493.48569456203217,447.4952581951544,0.03867403314917127,0.2354368932038835,0.044902912621359224,0.12742718446601942,B-CAL,False,True,0.6540507831357614
0.012099447513812154,0.9057300707074043,1,120,"[""train001""]",,,,0.01,avenue_to_ped2,total represented test-video duration,89.55223906488986,,,0.6540507831357614,0.7216140025152309,CAL_median_mad,0.6540507831357614,"{""ped2_camera_01"": 0.6540507831357614}","{""ped2_camera_01"": 0.20145631067961164}",,"{""test001"": 0.7138888888888889, ""test002"": 0.6230826323602177, ""test003"": 0.8065068493150684, ""test004"": 0.8262222222222222, ""test005"": 0.8361018826135105, ""test006"": 0.870020964360587, ""test007"": 0.45810699588477366, ""test012"": 0.6389815844765789}",1.170391782153324,1.0789416689060642,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_cal_median_mad_budget1.npz,knn,13,,361.6359962701078,447.3662380646394,353.589029514442,423.25579816536435,482.68207550968964,447.4952581951544,0.022099447513812154,0.20145631067961164,0.044902912621359224,0.12742718446601942,B-CAL,False,True,0.6540507831357614
0.003812154696132596,0.8983077941712535,1,120,"[""train001""]",,,,0.01,avenue_to_ped2,total represented test-video duration,71.64179125191188,,,0.6517040578233116,0.7195893844562478,CAL_empirical_cdf,0.6517040578233116,"{""ped2_camera_01"": 0.6517040578233116}","{""ped2_camera_01"": 0.14502427184466019}",,"{""test001"": 0.7133333333333334, ""test002"": 0.6242577931716972, ""test003"": 0.8116438356164384, ""test004"": 0.8223333333333334, ""test005"": 0.8283499446290143, ""test006"": 0.8688230008984726, ""test007"": 0.448559670781893, ""test012"": 0.6394141638857991}",1.0858448258959408,1.007545896545348,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_cal_empirical_cdf_budget1.npz,knn,13,,361.6359962701078,447.3662380646394,354.6269923727039,392.6805754076203,450.7420174149567,447.4952581951544,0.013812154696132596,0.14502427184466019,0.0,0.0,B-CAL,False,True,0.6517040578233116
0.039723756906077344,0.9057300707074043,2,270,"[""train001"", ""train002""]",,,,0.01,avenue_to_ped2,total represented test-video duration,143.28358250382377,,,0.6540507831357614,0.7216140025152309,CAL_quantile_q99,0.6540507831357614,"{""ped2_camera_01"": 0.6540507831357614}","{""ped2_camera_01"": 0.25485436893203883}",,"{""test001"": 0.7138888888888889, ""test002"": 0.6230826323602177, ""test003"": 0.8065068493150684, ""test004"": 0.8262222222222222, ""test005"": 0.8361018826135105, ""test006"": 0.870020964360587, ""test007"": 0.45810699588477366, ""test012"": 0.6389815844765789}",7.891013039150989,6.500979011854768,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_cal_quantile_q99_budget2.npz,knn,13,,361.6359962701078,447.3662380646394,2789.613774967469,2853.6743619937793,2908.318524270644,2857.6766071478696,0.049723756906077346,0.25485436893203883,0.044902912621359224,0.12742718446601942,B-CAL,False,True,0.6540507831357614
0.014861878453038673,0.9057300707074043,2,270,"[""train001"", ""train002""]",,,,0.01,avenue_to_ped2,total represented test-video duration,89.55223906488986,,,0.6540507831357614,0.7216140025152309,CAL_mean_std,0.6540507831357614,"{""ped2_camera_01"": 0.6540507831357614}","{""ped2_camera_01"": 0.20813106796116504}",,"{""test001"": 0.7138888888888889, ""test002"": 0.6230826323602177, ""test003"": 0.8065068493150684, ""test004"": 0.8262222222222222, ""test005"": 0.8361018826135105, ""test006"": 0.870020964360587, ""test007"": 0.45810699588477366, ""test012"": 0.6389815844765789}",1.1784761371016323,1.0927791474925808,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_cal_mean_std_budget2.npz,knn,13,,361.6359962701078,447.3662380646394,352.6828481294623,426.17939192129694,488.8724962492396,447.4952581951544,0.024861878453038673,0.20813106796116504,0.044902912621359224,0.12742718446601942,B-CAL,False,True,0.6540507831357614
0.007237569060773481,0.9057300707074043,2,270,"[""train001"", ""train002""]",,,,0.01,avenue_to_ped2,total represented test-video duration,17.91044781297797,,,0.6540507831357614,0.7216140025152309,CAL_median_mad,0.6540507831357614,"{""ped2_camera_01"": 0.6540507831357614}","{""ped2_camera_01"": 0.07220873786407767}",,"{""test001"": 0.7138888888888889, ""test002"": 0.6230826323602177, ""test003"": 0.8065068493150684, ""test004"": 0.8262222222222222, ""test005"": 0.8361018826135105, ""test006"": 0.870020964360587, ""test007"": 0.45810699588477366, ""test012"": 0.6389815844765789}",0.9666433976137212,0.9038016966120493,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_cal_median_mad_budget2.npz,knn,13,,361.6359962701078,447.3662380646394,285.37980745959726,349.57304813396,404.33036496977104,447.4952581951544,0.0027624309392265192,0.07220873786407767,0.044902912621359224,0.12742718446601942,B-CAL,False,True,0.6540507831357614
0.003812154696132596,0.8996255259891829,2,270,"[""train001"", ""train002""]",,,,0.01,avenue_to_ped2,total represented test-video duration,71.64179125191188,,,0.6517434492839135,0.7193374655487456,CAL_empirical_cdf,0.6517434492839135,"{""ped2_camera_01"": 0.6517434492839135}","{""ped2_camera_01"": 0.15109223300970873}",,"{""test001"": 0.7106944444444444, ""test002"": 0.6233918852053439, ""test003"": 0.8073630136986302, ""test004"": 0.8233333333333334, ""test005"": 0.8303802141011444, ""test006"": 0.8694219826295299, ""test007"": 0.4497119341563786, ""test012"": 0.6404029168211594}",1.1855072871504038,1.1723617924007848,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_cal_empirical_cdf_budget2.npz,knn,13,,361.6359962701078,447.3662380646394,358.9902362284454,428.72210887410904,524.4750847170568,447.4952581951544,0.013812154696132596,0.15109223300970873,0.0,0.0,B-CAL,False,True,0.6517434492839135
0.007237569060773481,0.9057300707074043,4,600,"[""train001"", ""train002"", ""train003"", ""train004""]",,,,0.01,avenue_to_ped2,total represented test-video duration,17.91044781297797,,,0.6540507831357614,0.7216140025152309,CAL_quantile_q99,0.6540507831357614,"{""ped2_camera_01"": 0.6540507831357614}","{""ped2_camera_01"": 0.05157766990291262}",,"{""test001"": 0.7138888888888889, ""test002"": 0.6230826323602177, ""test003"": 0.8065068493150684, ""test004"": 0.8262222222222222, ""test005"": 0.8361018826135105, ""test006"": 0.870020964360587, ""test007"": 0.45810699588477366, ""test012"": 0.6389815844765789}",7.891013039150989,6.500979011854768,0.0,analysis/track_b/scores/avenue_to_ped2/knn_seed13_cal_quantile_q99_budget4.npz,knn,13,,361.6359962701078,447.3662380646394,2789.613774967469,2853.6743619937793,2908.318524270644,2967.6685641137246,0.0027624309392265192,0.05157766990291262,0.044902912621359224,0.12742718446601942,B-CAL,False,True,0.6540507831357614
