method,calibration_budget_videos,direction,scorer,seed_count,threshold_false_positive_rate,absolute_fpr_error,threshold_recall,false_alarm_events_per_hour,micro_auroc,auprc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,q95_transfer_ratio,q99_transfer_ratio
CAL_mean_std,1,avenue_to_ped2,knn,1,0.03867403314917127,0.028674033149171267,0.2354368932038835,143.28358250382377,0.6540507831357614,0.9057300707074043,0.12742718446601942,0.044902912621359224,1.208126797692664,1.1030910528628872
CAL_mean_std,1,avenue_to_ped2,prototype,3,0.004604051565377532,0.005395948434622468,0.014967637540453072,29.85074635496328,0.5353383307407605,0.8396916231369341,0.03114886731391586,0.008899676375404529,1.0357783854889187,0.9228472420984399
CAL_mean_std,1,ped2_to_avenue,gaussian,1,0.0,0.01,0.0,0.0,0.3566570922470215,0.20003216727428388,0.01697198275862069,0.010775862068965518,0.8192609178997602,0.7166994893853436
CAL_mean_std,1,ped2_to_avenue,knn,1,0.0,0.01,0.0,0.0,0.37378312194875696,0.19128157324547604,0.009159482758620689,0.002963362068965517,0.8865912593310195,0.809698356701225
CAL_mean_std,1,ped2_to_avenue,prototype,3,0.0,0.01,0.0,0.0,0.37594726496767117,0.19098994186068086,0.007273706896551724,0.0029633620689655167,0.8787638509752985,0.7874737738537688
CAL_mean_std,2,avenue_to_ped2,gaussian,1,0.027624309392265192,0.01762430939226519,0.28640776699029125,107.46268687786782,0.6929360215630531,0.9209619169884193,0.22269417475728157,0.10436893203883495,1.4169546313484886,1.0560980888326281
CAL_mean_std,2,avenue_to_ped2,knn,1,0.024861878453038673,0.014861878453038673,0.20813106796116504,89.55223906488986,0.6540507831357614,0.9057300707074043,0.12742718446601942,0.044902912621359224,1.1784761371016323,1.0927791474925808
CAL_mean_std,2,avenue_to_ped2,prototype,3,0.010128913443830571,0.0012707182320441986,0.033373786407766996,65.67164198091923,0.5353383307407605,0.8396916231369341,0.03114886731391586,0.008899676375404529,1.1059392755164341,0.9946452531187308
CAL_mean_std,2,ped2_to_avenue,gaussian,1,0.0,0.01,0.0,0.0,0.3566570922470215,0.20003216727428388,0.01697198275862069,0.010775862068965518,0.788542278501809,0.6887569470729904
CAL_mean_std,2,ped2_to_avenue,knn,1,0.0,0.01,0.0,0.0,0.37378312194875696,0.19128157324547604,0.009159482758620689,0.002963362068965517,0.8662389849887617,0.7926675621121383
CAL_mean_std,2,ped2_to_avenue,prototype,3,0.0,0.01,0.0,0.0,0.37594726496767117,0.19098994186068086,0.007273706896551724,0.0029633620689655167,0.8559787103474267,0.7683812937726578
CAL_mean_std,4,avenue_to_ped2,gaussian,1,0.0,0.01,0.05339805825242718,0.0,0.6929360215630531,0.9209619169884193,0.22269417475728157,0.10436893203883495,0.9971692488899955,0.7514431805166121
CAL_mean_std,4,avenue_to_ped2,knn,1,0.0027624309392265192,0.007237569060773481,0.058859223300970875,17.91044781297797,0.6540507831357614,0.9057300707074043,0.12742718446601942,0.044902912621359224,0.9421127670801067,0.8830748671345211
CAL_mean_std,4,avenue_to_ped2,prototype,3,0.0009208103130755064,0.009079189686924493,0.008495145631067959,5.970149270992657,0.5353383307407605,0.8396916231369341,0.03114886731391586,0.008899676375404529,0.9914693183931208,0.889207074548421
CAL_mean_std,4,ped2_to_avenue,gaussian,1,0.0,0.01,0.0,0.0,0.3566570922470215,0.20003216727428388,0.01697198275862069,0.010775862068965518,0.7558496974121951,0.663563331160851
CAL_mean_std,4,ped2_to_avenue,knn,1,0.0,0.01,0.0,0.0,0.37378312194875696,0.19128157324547604,0.009159482758620689,0.002963362068965517,0.8485251750270854,0.7774519389001088
CAL_mean_std,4,ped2_to_avenue,prototype,3,0.0,0.01,0.0,0.0,0.37594726496767117,0.19098994186068086,0.007273706896551724,0.0029633620689655167,0.8357296207768341,0.7512310371800361
CAL_median_mad,1,avenue_to_ped2,gaussian,1,0.0,0.01,0.0012135922330097086,0.0,0.6929360215630531,0.9209619169884193,0.22269417475728157,0.10436893203883495,0.7903291019399699,0.5808976302963632
CAL_median_mad,1,avenue_to_ped2,knn,1,0.022099447513812154,0.012099447513812154,0.20145631067961164,89.55223906488986,0.6540507831357614,0.9057300707074043,0.12742718446601942,0.044902912621359224,1.170391782153324,1.0789416689060642
CAL_median_mad,1,avenue_to_ped2,prototype,3,0.009208103130755063,0.0014917127071823206,0.0279126213592233,59.701492709926576,0.5353383307407605,0.8396916231369341,0.03114886731391586,0.008899676375404529,1.068972907419342,0.9647766910711368
CAL_median_mad,1,ped2_to_avenue,gaussian,1,0.0,0.01,0.0,0.0,0.3566570922470215,0.20003216727428388,0.01697198275862069,0.010775862068965518,0.6822931395850516,0.584688534951643
CAL_median_mad,1,ped2_to_avenue,knn,1,0.0,0.01,0.0,0.0,0.37378312194875696,0.19128157324547604,0.009159482758620689,0.002963362068965517,0.7984138886882892,0.7212441940668658
